file,file_type,csv_size_estimate_uncompressed,csv_size_bytes_uncompressed,zip_compressed_size,rows_cases,columns_variables,multi_sheet,summary_20_words_or_less,columns,brief_data_dictionary
Healthcare_Associated_Infections-Hospital.csv,csv,36.87 MB,38658196,1.30 MB,172512,15,No (CSV),"Healthcare Associated Infections - Hospital: 172,512 cases and 15 variables covering Infections metrics at hospital level.",Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Telephone Number; Measure ID; Measure Name; Compared to National; Score; Footnote; Start Date; End Date,"Facility ID (integer; e.g., 010001) | Facility Name (categorical/text; e.g., SOUTHEAST HEALTH MEDICAL CENTER) | Address (categorical/text; e.g., 1108 ROSS CLARK CIRCLE) | City/Town (categorical/text; e.g., DOTHAN) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 36301) | County/Parish (categorical/text; e.g., HOUSTON) | Telephone Number (categorical/text; e.g., (334) 793-8701) | Measure ID (text; e.g., HAI_1_CILOWER) | Measure Name (text; e.g., Central Line Associated Bloodstream Infe) | Compared to National (categorical/text; e.g., Better than the National Benchmark) | Score (text; e.g., 0.073) | Footnote (categorical/text; e.g., 13) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
REH_Outpatient_Imaging_Efficiency-Hospital.csv,csv,7.4 KB,7529,2.3 KB,41,14,No (CSV),REH Outpatient Imaging Efficiency - Hospital: 41 cases and 14 variables covering Imaging metrics at hospital level.,Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Telephone Number; Measure ID; Measure Name; Score; Footnote; Start Date; End Date,"Facility ID (integer; e.g., 010779) | Facility Name (text; e.g., BULLOCK COUNTY HOSPITAL) | Address (text; e.g., 102 WEST CONECUH AVENUE) | City/Town (text; e.g., UNION SPRINGS) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 36089) | County/Parish (text; e.g., BULLOCK) | Telephone Number (text; e.g., (334) 738-2140) | Measure ID (categorical/text; e.g., REH_OP_10) | Measure Name (categorical/text; e.g., Abdomen CT Use of Contrast Material) | Score (categorical/text; e.g., Not Available) | Footnote (integer; e.g., 7) | Start Date (date; e.g., 01/01/2024) | End Date (date; e.g., 12/31/2024)"
HCAHPS-State.csv,csv,556.7 KB,570070,15.9 KB,2856,8,No (CSV),"HCAHPS - State: 2,856 cases and 8 variables covering HCAHPS metrics at state level.",State; HCAHPS Measure ID; HCAHPS Question; HCAHPS Answer Description; HCAHPS Answer Percent; Footnote; Start Date; End Date,"State (categorical/text; e.g., AK) | HCAHPS Measure ID (text; e.g., H_COMP_1_A_P) | HCAHPS Question (text; e.g., Patients who reported that their nurses ) | HCAHPS Answer Description (text; e.g., Nurses ""always"" communicated well) | HCAHPS Answer Percent (text; e.g., 80) | Footnote (integer; e.g., 5) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
REH_Timely_and_Effective_Care-Hospital.csv,csv,58.4 KB,59753,3.8 KB,164,16,No (CSV),REH Timely and Effective Care - Hospital: 164 cases and 16 variables covering Timely metrics at hospital level.,Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Telephone Number; Condition; Measure ID; Measure Name; Score; Sample; Footnote; Start Date; End Date,"Facility ID (integer; e.g., 010779) | Facility Name (text; e.g., BULLOCK COUNTY HOSPITAL) | Address (text; e.g., 102 WEST CONECUH AVENUE) | City/Town (text; e.g., UNION SPRINGS) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 36089) | County/Parish (text; e.g., BULLOCK) | Telephone Number (text; e.g., (334) 738-2140) | Condition (categorical/text; e.g., Emergency Department) | Measure ID (categorical/text; e.g., REH_OP_18a) | Measure Name (categorical/text; e.g., Average (median) time all patients spent) | Score (text; e.g., 102) | Sample (text; e.g., 295) | Footnote (categorical/text; e.g., 1) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
HCAHPS-National.csv,csv,9.9 KB,10106,1.4 KB,51,7,No (CSV),HCAHPS - National: 51 cases and 7 variables covering HCAHPS metrics at national level.,HCAHPS Measure ID; HCAHPS Question; HCAHPS Answer Description; HCAHPS Answer Percent; Footnote; Start Date; End Date,"HCAHPS Measure ID (text; e.g., H_COMP_1_A_P) | HCAHPS Question (text; e.g., Patients who reported that their nurses ) | HCAHPS Answer Description (text; e.g., Nurses ""always"" communicated well) | HCAHPS Answer Percent (integer; e.g., 80) | Footnote (empty/unknown; e.g., ) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
PCH_HCAHPS_NATIONAL.csv,csv,9.8 KB,10037,1.4 KB,51,6,No (CSV),PCH HCAHPS NATIONAL: 51 cases and 6 variables covering HCAHPS metrics at national level.,Measure ID; HCAHPS Question; HCAHPS Answer Description; HCAHPS Answer Percent; Start Date; End Date,"Measure ID (text; e.g., H_COMP_1_A_P) | HCAHPS Question (text; e.g., Patients who reported that their nurses ) | HCAHPS Answer Description (text; e.g., Nurses ""always"" communicated well) | HCAHPS Answer Percent (integer; e.g., 80) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
FY_2026_Hospital_Readmissions_Reduction_Program_Hospital.csv,csv,1.97 MB,2068464,281.0 KB,18330,12,No (CSV),"FY 2026 Hospital Readmissions Reduction Program Hospital: 18,330 cases and 12 variables covering Readmissions metrics at hospital level.",Facility Name; Facility ID; State; Measure Name; Number of Discharges; Footnote; Excess Readmission Ratio; Predicted Readmission Rate; Expected Readmission Rate; Number of Readmissions; Start Date; End Date,"Facility Name (text; e.g., SOUTHEAST HEALTH MEDICAL CENTER) | Facility ID (integer; e.g., 010001) | State (categorical/text; e.g., AL) | Measure Name (categorical/text; e.g., READM-30-HIP-KNEE-HRRP) | Number of Discharges (text; e.g., N/A) | Footnote (integer; e.g., 5) | Excess Readmission Ratio (text; e.g., 0.9875) | Predicted Readmission Rate (text; e.g., 4.5734) | Expected Readmission Rate (text; e.g., 4.6311) | Number of Readmissions (text; e.g., Too Few to Report) | Start Date (date; e.g., 07/01/2021) | End Date (date; e.g., 06/30/2024)"
Timely_and_Effective_Care-State.csv,csv,385.5 KB,394746,12.0 KB,1736,8,No (CSV),"Timely and Effective Care - State: 1,736 cases and 8 variables covering Timely metrics at state level.",State; Condition; Measure ID; Measure Name; Score; Footnote; Start Date; End Date,"State (categorical/text; e.g., AK) | Condition (categorical/text; e.g., Healthcare Personnel Vaccination) | Measure ID (text; e.g., IMM_3) | Measure Name (text; e.g., Healthcare workers given influenza vacci) | Score (text; e.g., 74) | Footnote (categorical/text; e.g., 5) | Start Date (date; e.g., 10/01/2024) | End Date (date; e.g., 03/31/2025)"
hvbp_person_and_community_engagement.csv,csv,1.44 MB,1505930,303.0 KB,2455,74,No (CSV),"hvbp person and community engagement: 2,455 cases and 74 variables covering HVBP metrics.",Fiscal Year; Facility ID; Facility Name; Address; City/Town; State; ZIP Code; County/Parish; Communication With Nurses Floor; Communication With Nurses Achievement Threshold; Communication With Nurses Benchmark; Communication With Nurses Baseline Rate; Communication With Nurses Performance Rate; Communication With Nurses Achievement Points; Communication With Nurses Improvement Points; Communication With Nurses Dimension Score; Communication With Doctors Floor; Communication With Doctors Achievement Threshold; Communication With Doctors Benchmark; Communication With Doctors Baseline Rate; Communication With Doctors Performance Rate; Communication With Doctors Achievement Points; Communication With Doctors Improvement Points; Communication With Doctors Dimension Score; Responsiveness Of Hospital Staff Floor; Responsiveness Of Hospital Staff Achievement Threshold; Responsiveness Of Hospital Staff Benchmark; Responsiveness Of Hospital Staff Baseline Rate; Responsiveness Of Hospital Staff Performance Rate; Responsiveness Of Hospital Staff Achievement Points; Responsiveness Of Hospital Staff Improvement Points; Responsiveness Of Hospital Staff Dimension Score; Care Transition Floor; Care Transition Achievement Threshold; Care Transition Benchmark; Care Transition Baseline Rate; Care Transition Performance Rate; Care Transition Achievement Points; Care Transition Improvement Points; Care Transition Dimension Score; Communication About Medicines Floor; Communication About Medicines Achievement Threshold; Communication About Medicines Benchmark; Communication About Medicines Baseline Rate; Communication About Medicines Performance Rate; Communication About Medicines Achievement Points; Communication About Medicines Improvement Points; Communication About Medicines Dimension Score; Cleanliness And Quietness Of Hospital Environment Floor; Cleanliness And Quietness Of Hospital Environment Achievement Threshold; Cleanliness And Quietness Of Hospital Environment Benchmark; Cleanliness And Quietness Of Hospital Environment Baseline Rate; Cleanliness And Quietness Of Hospital Environment Performance Rate; Cleanliness And Quietness Of Hospital Environment Achievement Points; Cleanliness And Quietness Of Hospital Environment Improvement Points; Cleanliness And Quietness Of Hospital Environment Dimension Score; Discharge Information Floor; Discharge Information Achievement Threshold; Discharge Information Benchmark; Discharge Information Baseline Rate; Discharge Information Performance Rate; Discharge Information Achievement Points; Discharge Information Improvement Points; Discharge Information Dimension Score; Overall Rating Of Hospital Floor; Overall Rating Of Hospital Achievement Threshold; Overall Rating Of Hospital Benchmark; Overall Rating Of Hospital Baseline Rate; Overall Rating Of Hospital Performance Rate; Overall Rating Of Hospital Achievement Points; Overall Rating Of Hospital Improvement Points; Overall Rating Of Hospital Dimension Score; Hcahps Base Score; Hcahps Consistency Score,"Fiscal Year (integer; e.g., 2026) | Facility ID (integer; e.g., 010001) | Facility Name (text; e.g., SOUTHEAST HEALTH MEDICAL CENTER) | Address (text; e.g., 1108 ROSS CLARK CIRCLE) | City/Town (text; e.g., DOTHAN) | State (categorical/text; e.g., AL) | ZIP Code (integer; e.g., 36301) | County/Parish (text; e.g., HOUSTON) | Communication With Nurses Floor (categorical/text; e.g., 55.23%) | Communication With Nurses Achievement Threshold (categorical/text; e.g., 76.41%) | Communication With Nurses Benchmark (categorical/text; e.g., 85.57%) | Communication With Nurses Baseline Rate (text; e.g., 73.8343%) | Communication With Nurses Performance Rate (text; e.g., 74.6272%) | Communication With Nurses Achievement Points (categorical/text; e.g., 0 out of 10) | Communication With Nurses Improvement Points (categorical/text; e.g., 0 out of 9) | Communication With Nurses Dimension Score (categorical/text; e.g., 0) | Communication With Doctors Floor (categorical/text; e.g., 58.04%) | Communication With Doctors Achievement Threshold (categorical/text; e.g., 76.83%) | Communication With Doctors Benchmark (categorical/text; e.g., 85.93%) | Communication With Doctors Baseline Rate (text; e.g., 78.4647%) | Communication With Doctors Performance Rate (text; e.g., 81.0814%) | Communication With Doctors Achievement Points (categorical/text; e.g., 5 out of 10) | Communication With Doctors Improvement Points (categorical/text; e.g., 3 out of 9) | Communication With Doctors Dimension Score (categorical/text; e.g., 5) | Responsiveness Of Hospital Staff Floor (categorical/text; e.g., 36.52%) | ... 49 more variables"
ASC_State.csv,csv,8.2 KB,8408,2.5 KB,54,34,No (CSV),ASC State: 54 cases and 34 variables covering ASC State metrics at state level.,State; Year; Avg ASC-1 State Rate*; Median ASC-1 State Rate*; Avg ASC-2 State Rate*; Median ASC-2 State Rate*; Avg ASC-3 State Rate*; Median ASC-3 State Rate*; Avg ASC-4 State Rate*; Median ASC-4 State Rate*; Avg ASC-9 State Rate*; Median ASC-9 State Rate*; Avg ASC-11 State Rate*; Median ASC-11 State Rate*; ASC-12 Better; ASC-12 No Different; ASC-12 Worse; ASC-12 Too Small; Avg ASC-13 State Rate*; Median ASC-13 State Rate*; Avg ASC-14 State Rate*; Median ASC-14 State Rate*; ASC-17 Better; ASC-17 No Different; ASC-17 Worse; ASC-17 Too Small; ASC-18 Better; ASC-18 No Different; ASC-18 Worse; ASC-18 Too Small; ASC-19 Better; ASC-19 No Different; ASC-19 Worse; ASC-19 Too Small,"State (text; e.g., SC) | Year (integer; e.g., 2024) | Avg ASC-1 State Rate* (categorical/text; e.g., 0.000) | Median ASC-1 State Rate* (categorical/text; e.g., 0.000) | Avg ASC-2 State Rate* (number; e.g., 0.012) | Median ASC-2 State Rate* (number; e.g., 0.000) | Avg ASC-3 State Rate* (categorical/text; e.g., 0.003) | Median ASC-3 State Rate* (categorical/text; e.g., 0.000) | Avg ASC-4 State Rate* (number; e.g., 0.067) | Median ASC-4 State Rate* (number; e.g., 0.050) | Avg ASC-9 State Rate* (text; e.g., 91.56) | Median ASC-9 State Rate* (text; e.g., 94.19) | Avg ASC-11 State Rate* (categorical/text; e.g., 100.00) | Median ASC-11 State Rate* (categorical/text; e.g., 100.00) | ASC-12 Better (integer; e.g., 0) | ASC-12 No Different (integer; e.g., 34) | ASC-12 Worse (integer; e.g., 0) | ASC-12 Too Small (integer; e.g., 3) | Avg ASC-13 State Rate* (number; e.g., 72.26) | Median ASC-13 State Rate* (number; e.g., 100.00) | Avg ASC-14 State Rate* (text; e.g., 0.239) | Median ASC-14 State Rate* (text; e.g., 0.187) | ASC-17 Better (integer; e.g., 0) | ASC-17 No Different (integer; e.g., 27) | ASC-17 Worse (integer; e.g., 0) | ... 9 more variables"
Complications_and_Deaths-State.csv,csv,101.9 KB,104387,9.1 KB,1120,10,No (CSV),"Complications and Deaths - State: 1,120 cases and 10 variables covering Complications, Deaths metrics at state level.",State; Measure ID; Measure Name; Number of Hospitals Worse; Number of Hospitals Same; Number of Hospitals Better; Number of Hospitals Too Few; Footnote; Start Date; End Date,"State (categorical/text; e.g., AK) | Measure ID (categorical/text; e.g., COMP_HIP_KNEE) | Measure Name (categorical/text; e.g., Rate of complications for hip/knee repla) | Number of Hospitals Worse (categorical/text; e.g., 0) | Number of Hospitals Same (text; e.g., 7) | Number of Hospitals Better (categorical/text; e.g., 0) | Number of Hospitals Too Few (text; e.g., 3) | Footnote (integer; e.g., 5) | Start Date (date; e.g., 04/01/2021) | End Date (date; e.g., 03/31/2024)"
Data_Updates_April_2026.csv,csv,177.2 KB,181464,10.3 KB,1153,4,No (CSV),"Data Updates April 2026: 1,153 cases and 4 variables covering Data Updates April 2026 metrics.",https://data.cms.gov/provider-data/ location affected; Downloadable CSV revised file affected; Data Last Updated; Data Last Updated Details,"https://data.cms.gov/provider-data/ location affected (text; e.g., https://data.cms.gov/provider-data/datas) | Downloadable CSV revised file affected (text; e.g., Ambulatory Surgical Measures-Facility) | Data Last Updated (categorical/text; e.g., 13-May-26) | Data Last Updated Details (text; e.g., No updates; Open/Closed List applied)"
Unplanned_Hospital_Visits-National.csv,csv,2.7 KB,2770,768 B,14,14,No (CSV),Unplanned Hospital Visits - National: 14 cases and 14 variables covering Unplanned Hospital Visits - National metrics at hospital level.,Measure ID; Measure Name; National Rate; Number of Hospitals Worse; Number of Hospitals Same; Number of Hospitals Better; Number of Hospitals Too Few; Footnote; Start Date; End Date; Number of Hospitals Fewer; Number of Hospitals Average; Number of Hospitals More; Number of Hospitals Too Small,"Measure ID (text; e.g., EDAC_30_AMI) | Measure Name (text; e.g., Hospital return days for heart attack pa) | National Rate (text; e.g., Not Applicable) | Number of Hospitals Worse (text; e.g., Not Applicable) | Number of Hospitals Same (text; e.g., Not Applicable) | Number of Hospitals Better (text; e.g., Not Applicable) | Number of Hospitals Too Few (text; e.g., Not Applicable) | Footnote (empty/unknown; e.g., ) | Start Date (date; e.g., 07/01/2021) | End Date (date; e.g., 06/30/2024) | Number of Hospitals Fewer (categorical/text; e.g., 278) | Number of Hospitals Average (categorical/text; e.g., 736) | Number of Hospitals More (categorical/text; e.g., 551) | Number of Hospitals Too Small (categorical/text; e.g., 2149)"
REH_Timely_and_Effective_Care-National.csv,csv,2.8 KB,2822,453 B,8,8,No (CSV),REH Timely and Effective Care - National: 8 cases and 8 variables covering Timely metrics at national level.,Measure ID; Measure Name; Condition; Category; Score; Footnote; Start Date; End Date,"Measure ID (text; e.g., REH_OP_18a) | Measure Name (text; e.g., Average (median) time all patients spent) | Condition (categorical/text; e.g., Emergency Department) | Category (text; e.g., REH-OP-18) | Score (integer; e.g., 102) | Footnote (empty/unknown; e.g., ) | Start Date (date; e.g., 07/01/2024) | End Date (date; e.g., 06/30/2025)"
